Comment,Designator,Footprint,JLCPCB Part#
1uF,C_1V-Decoup1,C_0402_1005Metric,C52923
100nF,C_1V-Decoup2,C_0402_1005Metric,C2655418
100nF,C_1V-Decoup3,C_0402_1005Metric,C2655418
10uF,C_3V-Decoup1,C_0402_1005Metric,C15525
1uF,C_3V-Decoup2,C_0402_1005Metric,C52923
100nF,C_3V-Decoup3,C_0402_1005Metric,C2655418
100nF,C_3V-Decoup4,C_0402_1005Metric,C2655418
100nF,C_3V-Decoup5,C_0402_1005Metric,C2655418
100nF,C_3V-Decoup6,C_0402_1005Metric,C2655418
100nF,C_3V-Decoup7,C_0402_1005Metric,C2655418
100nF,C_3V-Decoup8,C_0402_1005Metric,C2655418
100nF,C_3V-Decoup9,C_0402_1005Metric,C2655418
22pF,C_Crystal1,C_0402_1005Metric,C1555
22pF,C_Crystal2,C_0402_1005Metric,C1555
100nF,C_Flash1,C_0402_1005Metric,C2655418
1uF,C_LD1,C_0402_1005Metric,C52923
1uF,C_LD2,C_0402_1005Metric,C52923
100nF,C1,C_0402_1005Metric,C2655418
BAV70,D1,SOT-23,C154830
BAV70,D10,SOT-23,C154830
BAV70,D11,SOT-23,C154830
BAV70,D12,SOT-23,C154830
BAV70,D13,SOT-23,C154830
BAV70,D14,SOT-23,C154830
BAV70,D15,SOT-23,C154830
BAV70,D16,SOT-23,C154830
BAV70,D17,SOT-23,C154830
BAV70,D18,SOT-23,C154830
BAV70,D19,SOT-23,C154830
BAV70,D2,SOT-23,C154830
BAV70,D20,SOT-23,C154830
BSD3C051V,D21,D_SOD-323,C151996
BAV70,D3,SOT-23,C154830
BAV70,D4,SOT-23,C154830
BAV70,D5,SOT-23,C154830
BAV70,D6,SOT-23,C154830
BAV70,D7,SOT-23,C154830
BAV70,D8,SOT-23,C154830
BAV70,D9,SOT-23,C154830
0603L075SLYR,F1,Fuse_0603_1608Metric,C207016
BLM15PX121SN1D,FB1,L_0402_1005Metric,C88970
BLM15PX121SN1D,FB2,L_0402_1005Metric,C88970
USB_C_Receptacle_USB2.0,J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
1k ohm,R_Crystal1,R_0402_1005Metric,C279987
27 ohm,R_DATA1,R_0402_1005Metric,C25100
27 ohm,R_DATA2,R_0402_1005Metric,C25100
5.1k ohm,R_Flash1,R_0402_1005Metric,C103086
5.1k ohm,R_Flash2,R_0402_1005Metric,C103086
1k ohm,R_Flash3,R_0402_1005Metric,C279987
5.1k ohm,R_RST1,R_0402_1005Metric,C103086
1M ohm,R1,R_0603_1608Metric,C3016422
5.1k ohm,R2,R_0402_1005Metric,C103086
5.1k ohm,R3,R_0402_1005Metric,C103086
RESET,SW1,SW_SPST_TL3342,C318884
BOOTSEL,SW2,SW_SPST_TL3342,C318884
RP2040,U1,RP2040-QFN-56,C2040
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C2613930
XC6206P332MR,U3,SOT-23,C5446
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
